49.647,59.378,39.917,49.647,59.378,39.917
51.361,61.381,41.341,51.361,61.381,41.341
53.67,64.689,42.652,53.67,64.689,42.652
58.92,70.943,46.897,58.92,70.943,46.897
63.727,76.102,51.352,63.727,76.102,51.352
70.423,83.446,57.399,70.423,83.446,57.399
76.358,89.808,62.909,76.358,89.808,62.909
76.361,90.158,62.563,76.361,90.158,62.563
72.198,85.33,59.066,72.198,85.33,59.066
64.445,76.51,52.38,64.445,76.51,52.38
55.317,66.131,44.503,55.317,66.131,44.503
49.084,59.15,39.018,49.084,59.15,39.018
50.531,60.771,40.291,50.531,60.771,40.291
51.275,61.846,40.704,51.275,61.846,40.704
54.544,65.704,43.384,54.544,65.704,43.384
58.519,70.621,46.418,58.519,70.621,46.418
63.656,75.978,51.334,63.656,75.978,51.334
69.815,82.564,57.066,69.815,82.564,57.066
75.251,88.786,61.716,75.251,88.786,61.716
77.098,90.801,63.395,77.098,90.801,63.395
71.473,84.78,58.166,71.473,84.78,58.166
63.874,76.25,51.497,63.874,76.25,51.497
55.832,66.937,44.727,55.832,66.937,44.727
49.509,59.731,39.287,49.509,59.731,39.287
50.081,59.974,40.189,50.081,59.974,40.189
50.462,60.324,40.6,50.462,60.324,40.6
54.157,64.779,43.536,54.157,64.779,43.536
57.627,69.079,46.174,57.627,69.079,46.174
63.281,74.878,51.684,63.281,74.878,51.684
69.857,82.455,57.26,69.857,82.455,57.26
75.333,88.731,61.935,75.333,88.731,61.935
75.971,89.446,62.497,75.971,89.446,62.497
72.058,85.253,58.864,72.058,85.253,58.864
65.487,78.076,52.897,65.487,78.076,52.897
55.624,66.638,44.61,55.624,66.638,44.61
50.303,60.205,40.401,50.303,60.205,40.401
50.269,60.494,40.044,50.269,60.494,40.044
52.055,62.342,41.769,52.055,62.342,41.769
55.595,67.083,44.107,55.595,67.083,44.107
58.6,70.586,46.614,58.6,70.586,46.614
64.151,76.052,52.249,64.151,76.052,52.249
70.352,82.855,57.85,70.352,82.855,57.85
76.233,89.453,63.013,76.233,89.453,63.013
76.594,89.971,63.217,76.594,89.971,63.217
72.86,86.291,59.429,72.86,86.291,59.429
64.782,77.421,52.144,64.782,77.421,52.144
56.053,66.957,45.15,56.053,66.957,45.15
50.806,60.882,40.73,50.806,60.882,40.73
50.675,60.714,40.636,50.675,60.714,40.636
51.646,61.304,41.988,51.646,61.304,41.988
53.542,63.919,43.165,53.542,63.919,43.165
58.863,70.554,47.172,58.863,70.554,47.172
63.159,75.045,51.273,63.159,75.045,51.273
70.175,82.912,57.438,70.175,82.912,57.438
76.198,89.66,62.735,76.198,89.66,62.735
75.86,89.339,62.381,75.86,89.339,62.381
72.575,86.059,59.092,72.575,86.059,59.092
64.296,76.359,52.233,64.296,76.359,52.233
55.241,65.962,44.521,55.241,65.962,44.521
49.967,60.367,39.568,49.967,60.367,39.568
49.754,59.949,39.56,49.754,59.949,39.56
50.553,60.755,40.352,50.553,60.755,40.352
52.878,63.882,41.874,52.878,63.882,41.874
58.402,70.744,46.06,58.402,70.744,46.06
64.437,76.703,52.171,64.437,76.703,52.171
69.985,82.797,57.173,69.985,82.797,57.173
75.779,89.168,62.389,75.779,89.168,62.389
76.718,90.505,62.931,76.718,90.505,62.931
72.304,85.622,58.986,72.304,85.622,58.986
65.434,78.037,52.83,65.434,78.037,52.83
56.644,67.778,45.51,56.644,67.778,45.51
50.32,60.692,39.949,50.32,60.692,39.949
50.311,60.589,40.033,50.311,60.589,40.033
51.916,62.149,41.682,51.916,62.149,41.682
54.49,65.708,43.272,54.49,65.708,43.272
58.935,71.143,46.726,58.935,71.143,46.726
65.416,78.307,52.526,65.416,78.307,52.526
70.344,83.565,57.122,70.344,83.565,57.122
76.867,90.611,63.123,76.867,90.611,63.123
76.513,90.108,62.919,76.513,90.108,62.919
70.449,83.801,57.097,70.449,83.801,57.097
64.666,76.745,52.587,64.666,76.745,52.587
55.429,66.369,44.489,55.429,66.369,44.489
49.606,59.904,39.309,49.606,59.904,39.309
49.851,59.896,39.806,49.851,59.896,39.806
51.593,62.018,41.167,51.593,62.018,41.167
54.197,65.093,43.302,54.197,65.093,43.302
57.973,69.772,46.173,57.973,69.772,46.173
64.159,76.019,52.299,64.159,76.019,52.299
69.683,82.425,56.942,69.683,82.425,56.942
76.517,89.932,63.102,76.517,89.932,63.102
76.038,89.619,62.456,76.038,89.619,62.456
72.852,86.124,59.579,72.852,86.124,59.579
64.368,76.48,52.255,64.368,76.48,52.255
55.117,65.931,44.303,55.117,65.931,44.303
49.858,60.129,39.587,49.858,60.129,39.587
50.606,60.808,40.404,50.606,60.808,40.404
50.932,60.898,40.965,50.932,60.898,40.965
53.611,64.126,43.097,53.611,64.126,43.097
58.187,70.102,46.272,58.187,70.102,46.272
64.761,77.12,52.402,64.761,77.12,52.402
69.588,82.601,56.574,69.588,82.601,56.574
75.056,88.487,61.624,75.056,88.487,61.624
76.212,89.976,62.448,76.212,89.976,62.448
71.826,84.853,58.799,71.826,84.853,58.799
62.721,74.863,50.58,62.721,74.863,50.58
54.795,65.881,43.71,54.795,65.881,43.71
49.193,59.548,38.837,49.193,59.548,38.837
50.668,61.095,40.24,50.668,61.095,40.24
51.801,62.06,41.542,51.801,62.06,41.542
55.484,67.135,43.832,55.484,67.135,43.832
57.954,69.859,46.05,57.954,69.859,46.05
63.802,75.79,51.813,63.802,75.79,51.813
70.588,83.559,57.616,70.588,83.559,57.616
75.703,89.119,62.288,75.703,89.119,62.288
75.372,88.873,61.871,75.372,88.873,61.871
72.737,86.042,59.432,72.737,86.042,59.432
63.815,76.129,51.502,63.815,76.129,51.502
54.109,65.024,43.195,54.109,65.024,43.195
49.411,59.007,39.814,49.411,59.007,39.814
50.235,60.086,40.383,50.235,60.086,40.383
